Product,Price
"vivo T1 5G (Starlight Black, 128 GB)",16990.00
"vivo T1 5G (Rainbow Fantasy, 128 GB)",16990.00
"vivo T1 5G (Rainbow Fantasy, 128 GB)",15990.00
"vivo T1 5G (Starlight Black, 128 GB)",15990.00
"vivo T1 44W (Ice Dawn, 128 GB)",17999.00
"vivo T1 44W (Starry Sky, 128 GB)",14499.00
"vivo T1 44W (Starry Sky, 128 GB)",17999.00
"vivo T1 44W (Ice Dawn, 128 GB)",14499.00
"vivo T1 44W (Starry Sky, 128 GB)",15999.00
"vivo T1 44W (Midnight Galaxy, 128 GB)",17999.00
"vivo T1 44W (Midnight Galaxy, 128 GB)",15999.00
"vivo T1 44W (Midnight Galaxy, 128 GB)",14499.00
"vivo Y53s (Deep Sea Blue, 128 GB)",15990.00
"vivo T1 5G (Starlight Black, 128 GB)",19990.00
"vivo T1 5G (Rainbow Fantasy, 128 GB)",19990.00
"vivo Y53s (Fantastic Rainbow, 128 GB)",15990.00
"vivo T1 Pro 5G (Turbo Black, 128 GB)",24999.00
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",24999.00
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",23999.00
"vivo Y21G (Midnight Blue, 64 GB)",13499.00
"vivo T1 Pro 5G (Turbo Black, 128 GB)",23999.00
"vivo Y15s (Mystic Blue, 32 GB)",10490.00
"vivo Y15s (Wave Green, 32 GB)",10490.00
